Date;Machine_ID;Operations_hours;Energy_Consumption_kWh;Material_Used_kg;Material_waste_kg;CO2_Emission_kg;Water_Consumption_Liters;Water_Recycled_Liters;Product_Output_Units
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
01.01.2020;M001;8;320;500;50;200;1000;200;450
